x,y,nothing
33.35072, -112.07899, 
33.35066, -112.07906, 
33.35058, -112.07913, 
33.35050, -112.07921, 
33.35043, -112.07928, 
33.35037, -112.07934, 
33.35029, -112.07941, 
33.35022, -112.07948, 
33.35016, -112.07955, 
33.35007, -112.07967, 
33.35001, -112.07975, 
33.34995, -112.07985, 
33.34989, -112.07994, 
33.34984, -112.08005, 
33.34978, -112.08016, 
33.34972, -112.08026, 
33.34966, -112.08037, 
33.34959, -112.08047, 
33.34953, -112.08057, 
33.34946, -112.08066, 
33.34940, -112.08075, 
33.34933, -112.08084, 
33.34927, -112.08092, 
33.34921, -112.08100, 
33.34916, -112.08108, 
33.34910, -112.08116, 
33.34904, -112.08124, 
33.34898, -112.08132, 
33.34893, -112.08140, 
33.34888, -112.08149, 
33.34882, -112.08159, 
33.34875, -112.08169, 
33.34870, -112.08178, 
33.34864, -112.08186, 
33.34859, -112.08197, 
33.34854, -112.08207, 
33.34851, -112.08218, 
33.34849, -112.08230, 
33.34847, -112.08242, 
33.34845, -112.08253, 
33.34843, -112.08264, 
33.34842, -112.08276, 
33.34840, -112.08285, 
33.34839, -112.08295, 
33.34836, -112.08309, 
33.34832, -112.08318, 
33.34823, -112.08328, 
33.34816, -112.08335, 
33.34811, -112.08343, 
33.34804, -112.08351, 
33.34799, -112.08359, 
33.34792, -112.08367, 
33.34787, -112.08375, 
33.34781, -112.08387, 
33.34775, -112.08399, 
33.34770, -112.08407, 
33.34764, -112.08418, 
33.34758, -112.08425, 
33.34751, -112.08433, 
33.34741, -112.08438, 
33.34728, -112.08443, 
33.34715, -112.08450, 
33.34706, -112.08461, 
33.34699, -112.08472, 
33.34692, -112.08480, 
33.34685, -112.08486, 
33.34678, -112.08493, 
33.34672, -112.08500, 
33.34665, -112.08507, 
33.34659, -112.08514, 
33.34652, -112.08520, 
33.34646, -112.08526, 
33.34636, -112.08535, 
33.34629, -112.08542, 
33.34618, -112.08551, 
33.34611, -112.08557, 
33.34602, -112.08562, 
33.34593, -112.08567, 
33.34584, -112.08571, 
33.34575, -112.08574, 
33.34566, -112.08577, 
33.34558, -112.08580, 
33.34550, -112.08583, 
33.34541, -112.08587, 
33.34532, -112.08589, 
33.34523, -112.08592, 
